No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	4kHz	BUZZER1	BUZ-SMD_2P-L12.0-W12.0-L_PKLCS1212E4001-R1	4kHz	PKLCS1212E4001-R1	muRata(村田)	C113159	LCSC
2	2	1nF	C1,C3	C1206	1nF	C3216C0G2J102JT000N	TDK	C342954	LCSC
3	1	100nF	C2	CAP-TH_L12.0-W5.5-P10.00-D1.0	100nF	KP104J2J1006	KYET(科雅)	C390130	LCSC
4	3	100nF	C4,C9,C10	C0603	100nF	TCC0603X7R104K500CT	CCTC(三环)	C282519	LCSC
5	1	10nF	C5	C0603	10nF	FCC0603B103K500CT	FOJAN(富捷)	C5137477	LCSC
6	1	1nF	C6	C1206	1nF	1206B102K102NT	FH(风华)	C1941	LCSC
7	2	100uF	C7,C8	CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD	100uF	RVT100UF16V67RV0016	KNSCHA(科尼盛)	C2887276	LCSC
8	2	US1M	D1,D2	SMA_L4.4-W2.8-LS5.4-RD		US1M	MDD(辰达半导体)	C412437	LCSC
9	1	BAV99	D3	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		BAV99	R+O(宏嘉诚)	C7420336	LCSC
10	1	1N4148WS	D4	SOD-323_L1.8-W1.3-LS2.5-RD		1N4148WS	CJ(江苏长电/长晶)	C2128	LCSC
11	1	HDR-M_2.54_1x3P	H1	HDR-TH_3P-P2.54-V-M					
12	1	1mH	L1	IND-SMD_L10.0-W10.0_ABG10A50M4R7	1mH	YNR1050-102M	YJYCOIN(益嘉源)	C5174475	LCSC
13	1	WS2812B-2020-V6	LED1	LED-SMD_4P-L2.2-W2.0-P1.00_WS2815C-2020-4P		WS2812B-2020-V6	worldsemi	C52917434	LCSC
14	1	1N60G	Q1	SOT-223_L6.5-W3.5-P2.30-LS7.0-BR		1N60G	UMW(友台半导体)	C347324	LCSC
15	2	MMBT3904	Q2,Q3	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		MMBT3904	JSMSEMI(杰盛微)	C916374	LCSC
16	2	100Ω	R1,R2	R0603	100Ω	FRC0603F1000TS	FOJAN(富捷)	C2906981	LCSC
17	1	100kΩ	R3	R0805	100kΩ	ERJP06F1003V	PANASONIC(松下)	C441992	LCSC
18	1	100kΩ	R4	R0603	100kΩ	FRC0603J104 TS	FOJAN(富捷)	C2907088	LCSC
19	4	3.3MΩ	R5,R6,R7,R8	R0805	3.3MΩ	RC0805FR-073M3L	YAGEO(国巨)	C246033	LCSC
20	1	33kΩ	R9	R0603	33kΩ	RC0603FR-0733KL	YAGEO(国巨)	C126359	LCSC
21	1	1kΩ	R11	R0603	1kΩ	0603WAF1001T5E	UNI-ROYAL(厚声)	C21190	LCSC
22	1	10kΩ	R12	R0603	10kΩ	FRC0603J103 TS	FOJAN(富捷)	C2930027	LCSC
23	1	1MΩ	R13	R0603	1MΩ	FRC0603F1004TS	FOJAN(富捷)	C2907003	LCSC
24	3	1.5MΩ	R14,R15,R16	R0805	1.5MΩ	RV0805FR-071M5L	YAGEO(国巨)	C118025	LCSC
25	1	330Ω	R17	R0603	330Ω	RC0603JR-07330RL	YAGEO(国巨)	C105879	LCSC
26	1	10kΩ	R18	R0603	10kΩ	RC0603FR-0710KL	YAGEO(国巨)	C98220	LCSC
27	1	UCC27517DBVR	U1	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR		UCC27517DBVR	TI(德州仪器)	C99395	LCSC
28	1	Seeed_Studio_XIAO_Series_XIAO-ESP32-C6-DIP	U2	Seeed_Studio_XIAO_Series:XIAO-ESP32-C6-DIP	XIAO-ESP32-C6-DIP				
29	1	KF301-5.0-2P	U4	CONN-TH_P5.00_KF301-5.0-2P		KF301-5.0-2P	KEFA(科发)	C474881	LCSC
30	1	S2B-XH-A(LF)(SN)	U5	CONN-TH_S2B-XH-A-LF-SN		S2B-XH-A(LF)(SN)	JST	C157931	LCSC
